srcIP	dstIP	srcPort	dstPort	protocol	timeStamp	add/rmv
1974919333	176283407	47181	62629	17	1709879378	1
176283407	1974919333	62629	47181	17	1709879378	1
1912271654	176283407	12167	62629	17	1709879378	0
176283407	1912271654	62629	12167	17	1709879378	0
2869505165	176283407	13824	62629	17	1709879378	0
176283407	2869505165	62629	13824	17	1709879378	0
1851316228	176283407	33676	62629	17	1709879379	0
176283407	1851316228	62629	33676	17	1709879379	0
2043441168	176283407	32287	62629	17	1709879379	0
176283407	2043441168	62629	32287	17	1709879379	0
1912322473	176283407	10424	62629	17	1709879379	0
1974287414	176283407	60375	62629	17	1709879379	0
1961331419	176283407	41487	62629	17	1709879379	0
1881743130	176283407	1124	62629	17	1709879379	0
1863467975	176283407	7467	62629	17	1709879379	0
1929246386	176283407	33372	62629	17	1709879379	0
176283407	1961331419	62629	41487	17	1709879379	0
176283407	1912322473	62629	10424	17	1709879379	0
176283407	1929246386	62629	33372	17	1709879379	0
176283407	1974287414	62629	60375	17	1709879379	0
176283407	1863467975	62629	7467	17	1709879379	0
176283407	1881743130	62629	1124	17	1709879379	0
1969083976	176283407	30258	62629	17	1709879379	0
176283407	1969083976	62629	30258	17	1709879379	0
1974919333	176283407	47181	62629	17	1709879379	0
176283407	1974919333	62629	47181	17	1709879379	0
2105443380	176283407	37536	62629	17	1709879380	1
176283407	2105443380	62629	37536	17	1709879380	1
2569337882	176283407	1177	62629	17	1709879380	0
176283407	2569337882	62629	1177	17	1709879380	0
3084034798	176283407	42289	62629	17	1709879381	1
176283407	3084034798	62629	42289	17	1709879381	1
1881743130	176283407	1124	62629	17	1709879381	1
176283407	1881743130	62629	1124	17	1709879381	1
2105443380	176283407	37536	62629	17	1709879381	0
176283407	2105443380	62629	37536	17	1709879381	0
2102677092	176283407	37894	62629	17	1709879382	1
176283407	2102677092	62629	37894	17	1709879382	1
3084034798	176283407	42289	62629	17	1709879382	0
176283407	3084034798	62629	42289	17	1709879382	0
1881743130	176283407	1124	62629	17	1709879382	0
176283407	1881743130	62629	1124	17	1709879382	0
3745721845	176283407	1295	62629	17	1709879383	1
176283407	3745721845	62629	1295	17	1709879383	1
2102677092	176283407	37894	62629	17	1709879383	0
176283407	2102677092	62629	37894	17	1709879383	0
176283407	465241414	62629	17123	17	1709879384	1
3745721845	176283407	1295	62629	17	1709879384	0
176283407	3745721845	62629	1295	17	1709879384	0
176283407	1857352923	62629	33708	17	1709879385	1
1912322473	176283407	10424	62629	17	1709879385	1
176283407	1912322473	62629	10424	17	1709879385	1
465241414	176283407	17123	62629	17	1709879385	1
176283407	465241414	62629	17123	17	1709879385	0
1912271654	176283407	12167	62629	17	1709879386	1
2869505165	176283407	13824	62629	17	1709879386	1
2105443380	176283407	37536	62629	17	1709879386	1
1974933900	176283407	5427	62629	17	1709879386	1
2102677092	176283407	37894	62629	17	1709879386	1
3084034798	176283407	42289	62629	17	1709879386	1
1961331419	176283407	41487	62629	17	1709879386	1
176283407	2869505165	62629	13824	17	1709879386	1
176283407	1912271654	62629	12167	17	1709879386	1
176283407	2102677092	62629	37894	17	1709879386	1
176283407	1974933900	62629	5427	17	1709879386	1
176283407	2105443380	62629	37536	17	1709879386	1
176283407	3084034798	62629	42289	17	1709879386	1
176283407	465241414	62629	17123	17	1709879386	1
176283407	1961331419	62629	41487	17	1709879386	1
143002614	176283407	3478	62629	17	1709879386	1
176283407	143002614	62629	3478	17	1709879386	1
1857352923	176283407	33708	62629	17	1709879386	1
1912322473	176283407	10424	62629	17	1709879386	0
176283407	1912322473	62629	10424	17	1709879386	0
1912322473	176283407	10424	62629	17	1709879387	1
1974919333	176283407	47181	62629	17	1709879387	1
1974287414	176283407	60375	62629	17	1709879387	1
1881743130	176283407	1124	62629	17	1709879387	1
2569337882	176283407	1177	62629	17	1709879387	1
1863467975	176283407	7467	62629	17	1709879387	1
1929246386	176283407	33372	62629	17	1709879387	1
176283407	1912322473	62629	10424	17	1709879387	1
176283407	1929246386	62629	33372	17	1709879387	1
176283407	1974919333	62629	47181	17	1709879387	1
176283407	1974287414	62629	60375	17	1709879387	1
176283407	2569337882	62629	1177	17	1709879387	1
176283407	1863467975	62629	7467	17	1709879387	1
176283407	1881743130	62629	1124	17	1709879387	1
143002614	176283407	3478	62629	17	1709879387	0
176283407	143002614	62629	3478	17	1709879387	0
1912322473	176283407	10424	62629	17	1709879388	0
1974919333	176283407	47181	62629	17	1709879388	0
1961331419	176283407	41487	62629	17	1709879388	0
1881743130	176283407	1124	62629	17	1709879388	0
2569337882	176283407	1177	62629	17	1709879388	0
1863467975	176283407	7467	62629	17	1709879388	0
1929246386	176283407	33372	62629	17	1709879388	0
176283407	1961331419	62629	41487	17	1709879388	0
176283407	1912322473	62629	10424	17	1709879388	0
176283407	1929246386	62629	33372	17	1709879388	0
176283407	1974919333	62629	47181	17	1709879388	0
176283407	2569337882	62629	1177	17	1709879388	0
176283407	1863467975	62629	7467	17	1709879388	0
176283407	1881743130	62629	1124	17	1709879388	0
176283407	2102677092	62629	37894	17	1709879388	0
2102677092	176283407	37894	62629	17	1709879388	0
176283407	1857352923	62629	33708	17	1709879388	0
465241414	176283407	17123	62629	17	1709879388	0
1857352923	176283407	33708	62629	17	1709879388	0
176283407	1912271654	62629	12167	17	1709879388	0
176283407	2105443380	62629	37536	17	1709879388	0
2869505165	176283407	13824	62629	17	1709879388	0
1974933900	176283407	5427	62629	17	1709879388	0
1912271654	176283407	12167	62629	17	1709879388	0
176283407	465241414	62629	17123	17	1709879388	0
176283407	2869505165	62629	13824	17	1709879388	0
176283407	1974933900	62629	5427	17	1709879388	0
176283407	3084034798	62629	42289	17	1709879388	0
2105443380	176283407	37536	62629	17	1709879388	0
3084034798	176283407	42289	62629	17	1709879388	0
1863467975	176283407	7467	62629	17	1709879389	1
176283407	1863467975	62629	7467	17	1709879389	1
1929246386	176283407	33372	62629	17	1709879389	1
176283407	1929246386	62629	33372	17	1709879389	1
1912271654	176283407	12167	62629	17	1709879389	1
176283407	1912271654	62629	12167	17	1709879389	1
2869505165	176283407	13824	62629	17	1709879389	1
176283407	2869505165	62629	13824	17	1709879389	1
1974287414	176283407	60375	62629	17	1709879389	0
176283407	1974287414	62629	60375	17	1709879389	0
2043441168	176283407	32287	62629	17	1709879390	1
176283407	2043441168	62629	32287	17	1709879390	1
1969083976	176283407	30258	62629	17	1709879390	1
176283407	1969083976	62629	30258	17	1709879390	1
1974919333	176283407	47181	62629	17	1709879390	1
176283407	1974919333	62629	47181	17	1709879390	1
1863467975	176283407	7467	62629	17	1709879390	0
176283407	1863467975	62629	7467	17	1709879390	0
1929246386	176283407	33372	62629	17	1709879390	0
176283407	1929246386	62629	33372	17	1709879390	0
1912271654	176283407	12167	62629	17	1709879390	0
176283407	1912271654	62629	12167	17	1709879390	0
2869505165	176283407	13824	62629	17	1709879390	0
176283407	2869505165	62629	13824	17	1709879390	0
2569337882	176283407	1177	62629	17	1709879391	1
176283407	2569337882	62629	1177	17	1709879391	1
2043441168	176283407	32287	62629	17	1709879391	0
176283407	2043441168	62629	32287	17	1709879391	0
1969083976	176283407	30258	62629	17	1709879391	0
176283407	1969083976	62629	30258	17	1709879391	0
1974919333	176283407	47181	62629	17	1709879391	0
176283407	1974919333	62629	47181	17	1709879391	0
2105443380	176283407	37536	62629	17	1709879392	1
176283407	2105443380	62629	37536	17	1709879392	1
2569337882	176283407	1177	62629	17	1709879392	0
176283407	2569337882	62629	1177	17	1709879392	0
3084034798	176283407	42289	62629	17	1709879393	1
176283407	3084034798	62629	42289	17	1709879393	1
1881743130	176283407	1124	62629	17	1709879393	1
176283407	1881743130	62629	1124	17	1709879393	1
2105443380	176283407	37536	62629	17	1709879393	0
176283407	2105443380	62629	37536	17	1709879393	0
1974287414	176283407	60375	62629	17	1709879394	1
1912322473	176283407	10424	62629	17	1709879394	1
1974919333	176283407	47181	62629	17	1709879394	1
2569337882	176283407	1177	62629	17	1709879394	1
1961331419	176283407	41487	62629	17	1709879394	1
1863467975	176283407	7467	62629	17	1709879394	1
1929246386	176283407	33372	62629	17	1709879394	1
176283407	1961331419	62629	41487	17	1709879394	1
176283407	1912322473	62629	10424	17	1709879394	1
176283407	1929246386	62629	33372	17	1709879394	1
176283407	2569337882	62629	1177	17	1709879394	1
176283407	1974287414	62629	60375	17	1709879394	1
176283407	1863467975	62629	7467	17	1709879394	1
176283407	1974919333	62629	47181	17	1709879394	1
2102677092	176283407	37894	62629	17	1709879394	1
176283407	2102677092	62629	37894	17	1709879394	1
3084034798	176283407	42289	62629	17	1709879394	0
176283407	3084034798	62629	42289	17	1709879394	0
1881743130	176283407	1124	62629	17	1709879395	0
2569337882	176283407	1177	62629	17	1709879395	0
1961331419	176283407	41487	62629	17	1709879395	0
176283407	1961331419	62629	41487	17	1709879395	0
2102677092	176283407	37894	62629	17	1709879395	0
176283407	2102677092	62629	37894	17	1709879395	0
143002614	176283407	3478	62629	17	1709879396	1
176283407	143002614	62629	3478	17	1709879396	1
